City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mar Del Plata,AR,-38.0023,-57.5575,280.9,82,0,3.09,clear sky
80,Kananga,CD,-5.8958,22.4178,293.94,69,44,1.31,scattered clouds
81,Huilong,CN,31.8111,121.655,293.19,44,100,1.94,overcast clouds
82,Isiro,CD,2.7739,27.616,292.9,99,77,0.51,broken clouds
83,Palembang,ID,-2.9167,104.7458,305.2,66,40,3.09,scattered clouds
84,Bafoulabe,ML,13.8065,-10.8321,304.85,12,9,1.54,clear sky
85,Malindi,KE,-3.2175,40.1191,299.48,79,15,5.0,light rain
86,Acari,PE,-15.4311,-74.6158,292.17,77,32,0.96,scattered clouds
87,Hilo,US,19.7297,-155.09,297.19,88,100,4.63,overcast clouds
88,Samarai,PG,-10.6167,150.6667,301.57,73,8,3.75,clear sky
89,Fort Nelson,CA,58.8053,-122.7002,276.92,100,20,1.54,few clouds
90,Havre-Saint-Pierre,CA,50.2334,-63.5986,277.35,65,0,4.63,clear sky
91,Bluff,NZ,-46.6,168.3333,283.6,73,56,2.64,broken clouds
92,Kavaratti,IN,10.5669,72.642,299.43,85,100,7.94,moderate rain
93,Puerto Ayora,EC,-0.7393,-90.3518,295.12,97,98,2.65,overcast clouds
94,Ukiah,US,39.1502,-123.2078,289.47,82,8,1.89,clear sky
95,Hermanus,ZA,-34.4187,19.2345,283.04,80,1,3.95,clear sky
96,Qaqortoq,GL,60.7167,-46.0333,272.98,77,100,1.81,overcast clouds
97,Carnarvon,AU,-24.8667,113.6333,295.97,31,0,6.62,clear sky
98,Tuktoyaktuk,CA,69.4541,-133.0374,269.15,80,75,4.12,broken clouds
99,Toguchin,RU,55.2353,84.3858,298.12,40,84,6.74,broken clouds
100,Eyl,SO,7.9803,49.8164,303.65,56,6,10.3,clear sky
101,Narsaq,GL,60.9167,-46.05,276.27,63,98,2.26,overcast clouds
102,Yining,CN,29.0361,114.5636,289.59,81,100,1.04,overcast clouds
103,Yazykovo,RU,55.2199,56.1353,286.33,74,79,5.5,light rain
104,Obo,CF,5.3998,26.4869,293.88,90,84,1.82,broken clouds
105,Sorland,NO,67.667,12.6934,280.07,86,69,10.38,broken clouds
106,Atar,MR,20.5169,-13.0499,303.52,13,93,3.23,overcast clouds
107,San Patricio,US,28.017,-97.5169,299.18,90,0,4.7,clear sky
108,Carbonia,IT,39.1672,8.5222,284.68,53,83,1.95,broken clouds
109,Hobart,AU,-42.8794,147.3294,291.63,57,75,2.06,light rain
110,Leningradskiy,RU,69.3833,178.4167,273.71,92,100,10.17,overcast clouds
111,Sidney,AU,-33.8679,151.2073,297.23,78,75,2.57,light rain
112,Ust-Koksa,RU,50.2696,85.6108,294.9,23,85,2.65,overcast clouds
113,Maraa,BR,-1.8333,-65.3667,296.36,99,100,1.09,overcast clouds
114,Kosonsoy,UZ,41.2561,71.5508,288.86,70,100,1.13,overcast clouds
115,Tarakan,ID,3.3,117.6333,303.87,74,75,2.06,broken clouds
116,Guane,CU,22.2025,-84.0875,295.37,82,41,2.16,scattered clouds
117,Suffolk,US,40.8668,-72.7996,290.73,95,100,0.0,mist
118,Calvia,ES,39.5657,2.5062,290.97,58,7,3.05,clear sky
119,Odry,CZ,49.6626,17.8308,286.97,77,24,0.61,few clouds
120,Ust-Kuyga,RU,70.0167,135.6,270.19,74,88,2.01,overcast clouds
121,Cape Town,ZA,-33.9258,18.4232,288.1,80,0,1.79,clear sky
122,Haapiti,PF,-17.5667,-149.8667,299.0,63,0,4.44,clear sky
123,Geraldton,AU,-28.7667,114.6,295.38,56,75,3.6,broken clouds
124,Sitka,US,57.0531,-135.33,282.09,71,75,1.54,broken clouds
125,Sakakah,SA,29.9697,40.2064,299.91,13,0,5.27,clear sky
126,Bundaberg,AU,-24.85,152.35,297.86,78,13,2.84,few clouds
